tconst,titleType,originalTitle,startYear,runtimeMinutes,numVotes,ordering,region,main_genre,secondary_genre
1683876,movie,Happy People: A Year in the Taiga,2010,90,8596,2,CA,Documentary,No tiene
1684226,tvMovie,The Normal Heart,2014,132,36870,18,CA,Biography,Drama
1686067,movie,La source des femmes,2011,135,4073,17,CA,Comedy,Drama
1687247,movie,Life in a Day,2011,95,15420,19,CA,Documentary,Drama
1692190,movie,El infierno,2010,149,11365,11,CA,Action,Comedy
1692486,movie,Carnage,2011,80,129901,29,CA,Comedy,Drama
1695989,tvSeries,The Increasingly Poor Decisions of Todd Margaret,2009,25,6721,11,CA,Comedy,No tiene
1697793,tvSeries,Outcasts,2010,50,5798,1,CA,Drama,Sci-Fi
1702014,movie,Hoje Eu Quero Voltar Sozinho,2014,96,26653,10,CA,Drama,Romance
17036612,tvMiniSeries,Phoenix Rising,2022,155,3556,15,CA,Crime,Documentary
1703925,tvSeries,Wilfred,2011,22,43638,15,CA,Comedy,Drama
1704573,movie,Bernie,2011,99,61834,22,CA,Biography,Comedy
1705120,movie,Love.net,2011,109,3882,3,CA,Drama,Romance
1706414,movie,Kray,2010,124,3161,16,CA,Adventure,Drama
1708135,movie,Elser,2015,114,9701,9,CA,Biography,Drama
1713440,movie,El hombre de las mil caras,2016,123,8377,13,CA,Adventure,Biography
1714210,movie,Weekend,2011,97,31481,28,CA,Drama,Romance
1714917,movie,Gimme Danger,2016,108,6252,5,CA,Documentary,Music
1715210,movie,Eve no jikan,2010,106,3975,5,CA,Animation,Drama
1723760,tvSeries,Dallas,2012,42,10718,2,CA,Drama,Romance
1727387,tvSeries,GCB,2012,430,8733,6,CA,Comedy,Drama
1734433,movie,Eden,2012,98,9096,8,CA,Crime,Drama
1735200,movie,When Pigs Have Wings,2011,98,3468,14,CA,Comedy,No tiene
1736633,movie,"Oslo, 31. august",2011,95,27556,9,CA,Drama,No tiene
1740047,movie,The Trip,2010,112,23076,4,CA,Comedy,Drama
1742683,tvMovie,Too Big to Fail,2011,99,18308,12,CA,Biography,Drama
1743904,tvSeries,Jane by Design,2012,44,10543,2,CA,Comedy,Drama
1747958,movie,Blood Ties,2013,127,20649,30,CA,Action,Crime
1748207,movie,Sound of My Voice,2011,87,22481,4,CA,Drama,Mystery
1748277,tvSeries,Zach Stone Is Gonna Be Famous,2013,21,4128,2,CA,Comedy,No tiene
1749004,tvSeries,Come Fly with Me,2010,29,9411,14,CA,Comedy,No tiene
1752076,tvSeries,The Almighty Johnsons,2011,47,4821,4,CA,Comedy,Drama
1754656,movie,Le Petit Prince,2015,108,64460,29,CA,Adventure,Animation
1756750,movie,Starbuck,2011,109,16811,18,CA,Comedy,Drama
1758772,tvSeries,Switched at Birth,2011,60,25645,1,CA,Drama,Family
1760967,movie,Ill Manors,2012,121,11078,6,CA,Crime,Drama
1764183,movie,Arbitrage,2012,107,53836,28,CA,Drama,Thriller
1769363,movie,The Giant Mechanical Man,2012,95,10354,2,CA,Comedy,Drama
1771072,tvSeries,Common Law,2012,43,6344,5,CA,Comedy,Crime
1772424,movie,Et maintenant on va oÃ¹?,2011,110,13164,7,CA,Comedy,Drama
1772925,movie,Jiro Dreams of Sushi,2011,81,37078,18,CA,Documentary,No tiene
1776196,movie,Hagane no renkinjutsushi: Mirosu no seinaru hoshi,2011,110,5249,12,CA,Action,Adventure
1777551,movie,Bobby Fischer Against the World,2011,93,7311,16,CA,Biography,Documentary
1780441,tvSeries,Portlandia,2011,22,22227,7,CA,Comedy,No tiene
1781069,movie,Zeitgeist: Moving Forward,2011,161,18600,8,CA,Documentary,No tiene
1782352,tvSeries,Upstairs Downstairs,2010,60,6559,5,CA,Drama,No tiene
1786751,movie,CBGB,2013,102,10756,12,CA,Crime,Drama
1789083,movie,The Weight of Chains,2010,125,4478,9,CA,Documentary,History
1792647,movie,Cirque du Soleil: Worlds Away,2012,91,8157,13,CA,Fantasy,No tiene
1798274,tvSeries,The Lying Game,2011,44,18983,11,CA,Drama,Mystery
1805297,movie,Les femmes du 6e Ã©tage,2010,102,10519,31,CA,Comedy,No tiene
1809231,movie,Arme Riddere,2011,86,3339,3,CA,Action,Comedy
1811179,tvSeries,Penn & Teller: Fool Us,2011,60,3994,13,CA,Comedy,Game-Show
1814836,movie,Project Nim,2011,93,8528,2,CA,Documentary,No tiene
1820488,movie,Rebelle,2012,90,7451,12,CA,Drama,War
1821593,movie,Rundskop,2011,129,23882,18,CA,Crime,Drama
1821694,movie,RED 2,2013,116,176096,14,CA,Action,Comedy
1825918,tvMovie,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,78,12797,28,CA,Action,Adventure
1826805,tvSeries,Pan Am,2011,42,20310,25,CA,Drama,History
1827487,movie,Bir Zamanlar Anadolu'da,2011,157,48118,35,CA,Crime,Drama
1828246,tvSeries,Missing,2012,60,9612,10,CA,Action,Drama
1828995,movie,La dÃ©licatesse,2011,108,13645,34,CA,Comedy,Drama
1830622,tvSeries,Happily Divorced,2011,30,3197,14,CA,Comedy,Romance
1835129,tvSeries,Death Valley,2011,22,5544,1,CA,Comedy,Horror
1836195,tvSeries,The River,2012,44,16887,8,CA,Action,Adventure
1838603,movie,Mr. Morgan's Last Love,2013,111,12963,29,CA,Comedy,Drama
1839654,movie,The Magic of Belle Isle,2012,109,19551,18,CA,Comedy,Drama
1843323,tvSeries,Up All Night,2011,22,9494,5,CA,Comedy,No tiene
1843678,tvSeries,Scott & Bailey,2011,45,9979,20,CA,Crime,Drama
1845773,movie,Ai Weiwei: Never Sorry,2012,91,4467,10,CA,Documentary,No tiene
1846197,tvSeries,Morden i Sandhamn,2010,45,3122,16,CA,Crime,Drama
1846487,movie,Reality,2012,116,5627,16,CA,Comedy,Drama
1852006,movie,Les neiges du Kilimandjaro,2011,107,4011,17,CA,Comedy,Drama
1853563,movie,Foo Fighters: Back and Forth,2011,101,6397,9,CA,Documentary,Music
1853614,movie,Momo e no tegami,2011,120,7851,18,CA,Adventure,Animation
1854226,tvMiniSeries,Wonders of the Universe,2011,59,4276,13,CA,Documentary,No tiene
1854236,movie,Den skaldede frisÃ¸r,2012,116,14565,9,CA,Comedy,Drama
1860181,movie,Svartur Ã¡ leik,2012,104,4303,8,CA,Crime,Thriller
1862079,movie,Safety Not Guaranteed,2012,86,127999,7,CA,Adventure,Comedy
1863526,tvSeries,Bar Rescue,2011,41,3649,11,CA,Reality-TV,No tiene
1865740,tvSeries,Ink Master,2012,60,4441,12,CA,Game-Show,Reality-TV
1869716,movie,The East,2013,116,51472,10,CA,Crime,Drama
1883180,movie,En duva satt pÃ¥ en gren och funderade pÃ¥ tillvaron,2014,101,19056,21,CA,Comedy,Drama
1891769,movie,Le tableau,2011,80,4405,14,CA,Adventure,Animation
1912398,movie,God Bless America,2011,105,71152,8,CA,Action,Comedy
1924394,movie,The Angels' Share,2012,101,26238,30,CA,Comedy,Crime
1927077,movie,Listy do M.,2011,110,4671,7,CA,Comedy,Romance
1931470,movie,La guerre est dÃ©clarÃ©e,2011,100,5236,9,CA,Drama,No tiene
1932767,movie,What Maisie Knew,2012,99,28271,11,CA,Drama,No tiene
1933667,tvMovie,The Wizard of Lies,2017,133,27352,19,CA,Biography,Crime
1942919,tvSeries,Men at Work,2012,30,8503,14,CA,Comedy,Drama
1943524,tvSeries,The Finder,2012,44,17020,5,CA,Comedy,Crime
1948541,tvSeries,Broad City,2010,101,3348,7,CA,Comedy,Short
1951166,movie,Le capital,2012,114,5501,5,CA,Drama,No tiene
1955311,tvSeries,Bomb Girls,2012,60,4481,5,CA,Drama,War
1969062,movie,Infinitely Polar Bear,2014,90,16618,18,CA,Comedy,Drama
1981140,movie,The Rise,2012,108,4077,8,CA,Crime,Drama
1981538,tvSeries,Kroll Show,2013,30,5097,1,CA,Comedy,No tiene
2004262,tvMovie,Jesse Stone: Benefit of the Doubt,2012,90,3651,7,CA,Action,Crime
2006848,tvSeries,Bunheads,2012,44,8741,17,CA,Comedy,Drama
2011971,movie,Monsieur Lazhar,2011,95,20867,8,CA,Comedy,Drama
2012011,movie,Scenic Route,2013,82,11153,3,CA,Drama,Thriller
2018086,movie,Camille Claudel 1915,2013,95,3778,1,CA,Biography,Drama
2022713,tvSeries,Brickleberry,2012,22,17098,21,CA,Animation,Comedy
2023690,movie,Sightseers,2012,88,29571,2,CA,Adventure,Comedy
2025506,movie,Beul-la-in-deu,2011,111,3050,7,CA,Action,Crime
2027140,movie,L'Ã©cume des jours,2013,131,16372,2,CA,Comedy,Drama
2036416,movie,"Na xie nian, wo men yi qi zhui de nu hai",2011,109,11121,17,CA,Comedy,Drama
2042583,movie,La jaula de oro,2013,108,5036,2,CA,Drama,No tiene
